index,part_code,orientation,x_mm,y_mm,z_mm,heading_degrees,length_mm,width_mm,height_mm,turn_degrees,scale,geometry_source,source_3mf
91,C156,RIGHT,4565.761,-6934.486,0,247.5,205.44,214.0,9.0,0.0,0.96,3MF,c156l.3mf
92,C156,RIGHT,4487.142,-7124.287,0,247.5,205.44,214.0,9.0,0.0,0.96,3MF,c156l.3mf
93,C156,RIGHT,4408.524,-7314.089,0,247.5,205.44,214.0,9.0,0.0,0.96,3MF,c156l.3mf
94,C156,RIGHT,4329.905,-7503.891,0,247.5,205.44,214.0,9.0,0.0,0.96,3MF,c156l.3mf
95,C156,RIGHT,4251.287,-7693.693,0,247.5,205.44,214.0,9.0,0.0,0.96,3MF,c156l.3mf
96,C151,RIGHT,4172.668,-7883.495,0,247.5,251.165,218.679,9.0,0.0,0.96,3MF,c151l.3mf
97,C151,RIGHT,4076.552,-8115.541,0,247.5,251.165,218.679,9.0,0.0,0.96,3MF,c151l.3mf
98,C151,RIGHT,3980.435,-8347.587,0,247.5,251.165,218.679,9.0,0.0,0.96,3MF,c151l.3mf
99,C151,RIGHT,3884.319,-8579.633,0,247.5,251.165,218.679,9.0,0.0,0.96,3MF,c151l.3mf
100,C153,RIGHT,3788.202,-8811.679,0,247.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
101,C153,RIGHT,3714.252,-8990.21,0,270.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
102,C153,RIGHT,3714.252,-9183.45,0,292.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
103,C153,RIGHT,3788.202,-9361.981,0,315.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
104,C153,RIGHT,3924.844,-9498.622,0,337.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
105,C153,RIGHT,4103.374,-9572.572,0,360.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
106,C153,RIGHT,4296.615,-9572.572,0,382.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
107,C153,RIGHT,4475.145,-9498.622,0,405.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
108,C153,RIGHT,4611.787,-9361.981,0,427.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
