x_m,y_m
-60.7975,719.4926
-55.9929,720.4482
-51.0451,721.3099
-46.0972,722.1717
-41.1201,722.9327
-36.1430,723.6937
-31.1368,724.3539
-26.1306,725.0141
-21.0952,725.5736
-16.0598,726.1330
-10.9953,726.5917
-5.9307,727.0504
-0.1096,727.5623
5.7116,728.0743
11.5327,728.5862
16.4923,729.0171
21.4519,729.4480
26.4114,729.8789
31.3710,730.3098
36.3306,730.7406
41.6859,731.2028
47.0413,731.6650
52.3967,732.1271
57.7520,732.5893
63.1074,733.0514
68.4627,733.5136
74.1008,733.9981
79.7389,734.4826
85.3770,734.9670
91.0151,735.4515
96.6531,735.9360
102.2912,736.4205
107.9293,736.9050
113.8840,737.3716
119.8387,737.8383
125.7934,738.3049
131.7481,738.7715
137.7028,739.2381
143.6575,739.7047
149.6122,740.1714
155.0996,740.5640
160.5870,740.9567
166.0744,741.3493
171.5618,741.7420
177.0492,742.1346
182.5366,742.5273
188.0240,742.9200
193.5114,743.3126
199.2759,743.6896
205.0403,744.0667
210.8048,744.4437
216.5692,744.8207
222.3336,745.1977
228.0981,745.5747
233.8625,745.9518
239.6270,746.3288
244.9972,746.6500
250.3674,746.9712
255.7376,747.2925
261.1078,747.6137
266.4781,747.9349
271.8483,748.2562
277.2185,748.5774
282.5887,748.8986
287.9589,749.2199
293.2401,749.5385
298.5213,749.8572
303.8025,750.1759
309.0837,750.4946
314.3648,750.8133
319.6460,751.1320
324.9272,751.4507
330.0481,751.7648
335.1691,752.0790
340.2900,752.3931
345.4109,752.7072
350.5319,753.0213
355.2789,753.3248
360.0259,753.6283
364.7729,753.9317
367.6502,754.1819
370.1825,754.5711
372.3697,755.0993
374.2118,755.7665
375.7088,756.5726
377.1475,757.5039
378.5278,758.5602
379.8499,759.7417
381.1136,761.0482
382.4599,763.4389
383.8889,766.9137
385.4004,771.4727
386.9947,777.1159
388.3653,781.7374
389.5124,785.3374
390.4358,787.9157
391.1357,789.4724
391.9474,790.9040
392.8709,792.2106
393.9062,793.3920
395.0532,794.4484
396.4044,795.4005
397.9598,796.2484
399.7192,796.9920
401.6828,797.6313
404.7935,798.4097
409.0512,799.3271
414.4560,800.3834
417.7319,800.9811
421.0078,801.5788
424.3566,802.2216
427.7055,802.8645
431.1272,803.5525
434.5489,804.2405
438.0436,804.9737
441.5382,805.7069
445.1057,806.4852
448.6733,807.2636
452.6151,808.2574
456.5569,809.2512
460.8729,810.4605
465.1890,811.6697
469.8793,813.0944
474.5696,814.5191
479.6341,816.1592
484.6987,817.7993
489.4242,819.3647
494.1497,820.9302
498.8753,822.4956
503.6008,824.0610
509.1358,825.9096
514.6709,827.7582
520.2059,829.6068
525.7409,831.4554
531.2760,833.3041
536.4829,835.0504
541.6898,836.7968
546.8966,838.5431
552.1035,840.2895
557.3104,842.0358
562.5173,843.7822
567.7242,845.5286
573.3769,847.4293
579.0295,849.3300
584.6822,851.2308
590.3348,853.1315
595.9875,855.0322
601.6401,856.9330
607.2928,858.8337
612.9455,860.7345
617.9302,862.3964
622.9149,864.0584
627.8996,865.7204
632.8843,867.3823
637.8690,869.0443
642.8537,870.7063
647.8384,872.3682
652.7513,873.9806
657.6642,875.5929
662.5771,877.2052
667.4900,878.8175
672.4029,880.4299
677.1483,881.9264
681.8936,883.4229
686.6390,884.9194
690.5468,885.8367
694.4011,886.5247
698.2019,886.9834
701.9493,887.2128
705.6432,887.2128
709.3031,887.0460
712.9290,886.7124
716.5208,886.2120
720.0787,885.5448
723.3789,884.7873
726.4215,883.9395
729.2065,883.0012
731.7339,881.9727
734.2370,880.8399
736.7158,879.6029
739.1703,878.2616
741.6006,876.8160
743.9967,875.3357
746.3589,873.8207
748.6870,872.2709
750.9811,870.6864
753.4211,868.7127
756.0068,866.3498
758.7384,863.5977
761.6157,860.4565
764.1772,857.4820
766.4227,854.6743
768.3523,852.0335
769.9659,849.5594
771.4629,846.9463
772.8433,844.1942
774.1070,841.3032
775.2540,838.2731
776.2601,835.1527
777.1253,831.9419
777.8495,828.6408
778.4328,825.2494
778.8945,821.2915
779.3562,817.3337
779.7775,813.1870
780.1987,809.0404
780.6199,804.8938
781.1546,799.2390
781.6892,793.5843
782.2239,787.9296
782.7099,782.5575
783.1960,777.1854
783.6820,771.8133
784.1680,766.4412
784.6444,761.3832
785.1207,756.3252
785.5970,751.2672
786.0733,746.2092
786.5496,741.1513
787.1134,735.3330
787.6773,729.5147
788.2411,723.6964
788.8049,717.8782
789.3687,712.0599
789.9114,706.5778
790.4542,701.0956
790.9969,695.6135
791.5397,690.1313
792.0824,684.6492
792.6252,679.1670
793.1529,673.9250
793.6806,668.6830
794.2083,663.4409
794.7360,658.1989
795.2637,652.9568
795.7914,647.7148
796.3191,642.4727
796.8673,636.8046
797.4156,631.1364
797.9638,625.4682
798.5121,619.8001
799.0603,614.1319
799.5075,609.1351
799.9547,604.1383
800.4018,599.1414
800.8490,594.1446
801.2670,588.3277
801.6850,582.5109
801.5683,579.2306
801.3350,576.2422
800.9851,573.5458
800.5185,571.1412
799.9352,569.0285
799.2693,566.9853
798.5208,565.0116
797.6897,563.1073
796.7759,561.2726
795.7164,559.5700
794.5110,557.9993
793.1598,556.5607
791.6628,555.2542
789.8499,553.8156
787.7210,552.2450
785.2762,550.5423
782.5155,548.7076
777.7839,546.0215
773.0523,543.3355
769.0108,541.1081
764.9694,538.8807
760.9280,536.6534
756.8865,534.4260
752.3129,531.9366
747.7393,529.4472
743.1656,526.9579
738.5920,524.4685
734.0183,521.9791
729.0899,519.3151
724.1614,516.6510
719.2329,513.9870
714.3045,511.3229
709.3760,508.6589
704.4476,505.9948
699.7492,503.4350
695.0508,500.8752
690.3524,498.3154
685.6540,495.7556
680.9556,493.1958
676.2572,490.6360
671.7888,488.1805
667.3205,485.7249
662.8522,483.2694
658.3838,480.8138
653.9155,478.3583
649.4472,475.9027
644.3612,473.0812
639.2753,470.2596
634.1894,467.4380
629.1034,464.6164
624.0175,461.7949
619.2076,459.0984
614.3978,456.4019
609.5879,453.7054
604.7780,451.0090
599.9682,448.3125
595.6123,445.8773
591.2564,443.4421
586.9005,441.0070
582.5446,438.5718
578.1887,436.1366
573.3112,433.4193
568.4338,430.7020
563.5564,427.9847
558.6790,425.2673
554.3690,422.8766
550.0590,420.4860
545.7491,418.0953
541.4391,415.7046
536.4491,412.9525
531.4590,410.2004
526.4690,407.4483
522.1222,405.0345
517.7754,402.6206
513.4285,400.2068
509.7249,398.1311
506.0213,396.0555
502.3176,393.9799
497.7270,391.3737
493.1363,388.7676
489.5105,386.6688
485.8846,384.5700
482.1445,382.2766
478.4044,379.9832
474.5501,377.4952
470.6958,375.0072
466.7273,372.3246
462.7588,369.6421
458.6760,366.7649
454.5933,363.8877
450.7973,361.1704
447.0013,358.4531
443.4921,355.8956
439.9829,353.3381
436.7604,350.9405
433.5380,348.5428
430.6023,346.3050
427.6666,344.0672
424.8330,341.8329
421.9993,339.5986
419.2678,337.3677
416.5362,335.1369
413.9068,332.9095
411.2773,330.6821
408.7499,328.4582
406.2224,326.2344
402.7716,323.2437
399.3207,320.2530
395.8698,317.2623
391.9571,313.8882
388.0445,310.5142
384.1319,307.1401
380.2192,303.7660
376.0296,300.1619
371.8399,296.5578
367.6502,292.9537
363.4606,289.3496
359.2709,285.7455
354.8965,281.9880
350.5221,278.2306
346.1478,274.4731
341.7734,270.7157
337.3990,266.9582
333.0247,263.2007
328.9678,259.6784
324.9110,256.1561
320.8542,252.6337
316.7974,249.1114
312.7405,245.5891
308.6837,242.0667
304.1966,238.1221
299.7095,234.1775
295.2223,230.2328
290.7352,226.2882
286.2481,222.3435
282.1420,218.6811
278.0359,215.0186
273.9298,211.3561
269.8238,207.6936
265.7177,204.0311
261.9927,200.6508
258.2676,197.2705
254.5426,193.8901
250.8176,190.5098
247.0926,187.1295
243.1241,183.5759
239.1555,180.0223
235.1870,176.4687
231.2185,172.9151
227.2500,169.3615
223.2814,165.8079
219.1390,162.1305
214.9965,158.4531
210.8540,154.7757
206.7116,151.0984
202.5691,147.4210
198.4267,143.7436
194.2842,140.0662
190.0113,136.2960
185.7384,132.5258
181.4655,128.7556
177.1926,124.9854
172.9197,121.2152
168.6468,117.4450
164.3738,113.6748
160.1009,109.9046
155.7266,106.0622
151.3522,102.2198
146.9778,98.3774
142.6035,94.5350
138.2291,90.6926
133.8547,86.8502
129.4803,83.0078
125.1060,79.1654
120.7316,75.3230
116.3001,71.4294
111.8686,67.5359
107.4372,63.6423
103.0057,59.7488
98.5742,55.8552
94.1427,51.9616
89.7112,48.0681
85.2798,44.1745
80.7749,40.2152
76.2700,36.2559
71.7650,32.2965
67.2601,28.3372
62.7552,24.3779
58.2503,20.4185
53.7454,16.4592
49.8002,12.9903
45.8549,9.5214
41.9096,6.0525
37.9644,2.5836
34.0191,-0.8852
30.0738,-4.3541
26.1286,-7.8230
22.1787,-11.2978
18.2288,-14.7727
14.2789,-18.2475
10.3290,-21.7224
6.3791,-25.1972
2.4292,-28.6721
-1.2871,-31.9634
-5.0033,-35.2548
-8.7196,-38.5462
-12.4359,-41.8375
-16.1522,-45.1289
-19.5180,-48.1451
-22.8838,-51.1612
-26.2497,-54.1774
-29.6155,-57.1936
-33.7882,-61.0298
-37.9608,-64.8660
-41.1881,-68.1463
-43.9245,-71.1277
-46.1701,-73.8102
-47.9247,-76.1940
-49.1884,-78.2789
-50.1945,-80.3638
-50.9430,-82.4487
-51.4339,-84.5336
-51.6672,-86.6185
-51.8422,-88.8077
-51.9588,-91.1011
-52.0171,-93.4987
-52.0171,-96.0006
-51.8130,-99.2530
-51.4047,-103.2561
-50.7923,-108.0096
-49.9758,-113.5138
-49.3050,-118.3925
-48.7801,-122.6457
-48.4010,-126.2734
-48.1677,-129.2757
-47.9927,-132.6115
-47.8761,-136.2809
-47.8177,-140.2840
-47.8177,-144.6206
-47.9052,-148.4637
-48.0802,-151.8135
-48.3427,-154.6698
-48.6926,-157.0327
-49.1884,-159.5554
-49.8299,-162.2380
-50.6173,-165.0804
-51.5505,-168.0827
-52.5955,-171.2170
-53.7523,-174.4834
-55.0209,-177.8817
-56.4012,-181.4122
-58.0100,-184.9496
-59.8473,-188.4939
-61.9129,-192.0452
-64.2070,-195.6034
-66.7053,-199.1895
-69.4077,-202.8033
-72.3142,-206.4449
-75.4249,-210.1144
-78.6473,-213.6170
-81.9816,-216.9529
-85.4276,-220.1219
-88.9854,-223.1242
-92.3731,-225.9319
-95.5907,-228.5449
-98.6382,-230.9634
-101.5156,-233.1873
-104.0478,-235.2861
-106.2350,-237.2598
-108.0771,-239.1085
-109.5741,-240.8320
-110.9836,-242.7084
-112.3057,-244.7377
-113.5402,-246.9199
-114.6873,-249.2550
-115.8100,-252.0905
-116.9085,-255.4263
-117.9826,-259.2625
-119.0325,-263.5991
-119.7275,-267.6995
-120.4226,-271.7998
-120.9993,-275.8213
-121.5761,-279.8429
-122.1529,-283.8644
-122.8430,-289.1740
-123.5332,-294.4835
-124.2234,-299.7931
-124.8261,-304.7413
-125.4288,-309.6894
-126.0315,-314.6376
-126.6342,-319.5858
-127.2442,-324.6156
-127.8541,-329.6454
-128.4641,-334.6753
-129.0741,-339.7051
-129.6914,-344.8166
-130.3086,-349.9281
-130.9259,-355.0396
-131.5432,-360.1511
-132.1677,-365.3442
-132.7923,-370.5374
-133.4169,-375.7305
-134.0414,-380.9237
-134.6733,-386.1985
-135.3051,-391.4733
-135.9370,-396.7481
-136.5688,-402.0229
-137.1857,-407.7615
-137.8025,-413.5000
-138.4193,-419.2386
-139.0362,-424.9771
-139.6530,-430.7156
-140.2698,-436.4542
-140.8867,-442.1927
-141.5035,-447.9313
-142.1203,-453.6698
-142.7372,-459.4083
-143.3540,-465.1469
-143.9675,-470.9885
-144.5810,-476.8301
-145.1945,-482.6717
-145.8080,-488.5133
-146.4214,-494.3549
-147.0349,-500.1965
-147.6484,-506.0381
-148.2619,-511.8796
-148.8754,-517.7212
-149.4889,-523.5628
-150.1024,-529.4044
-150.7159,-535.2460
-151.3294,-541.0876
-151.9429,-546.9292
-152.5564,-552.7708
-153.1699,-558.6124
-153.7833,-564.4540
-154.3968,-570.2956
-155.0089,-576.1825
-155.6209,-582.0695
-156.2329,-587.9564
-156.8449,-593.8433
-157.4570,-599.7303
-158.0690,-605.6172
-158.6810,-611.5042
-159.2930,-617.3911
-159.9050,-623.2780
-160.5171,-629.1650
-161.1291,-635.0519
-161.7411,-640.9388
-162.3531,-646.8258
-162.9652,-652.7127
-163.5772,-658.5997
-164.1892,-664.4866
-164.8012,-670.3735
-165.4133,-676.2605
-166.0253,-682.1474
-166.6373,-688.0343
-167.2493,-693.9213
-167.8613,-699.8082
-168.4734,-705.6952
-169.0854,-711.5821
-169.6974,-717.4690
-170.3086,-723.3815
-170.9198,-729.2939
-171.5310,-735.2064
-172.1422,-741.1188
-172.7534,-747.0312
-173.3646,-752.9437
-173.9758,-758.8561
-174.5870,-764.7686
-175.1982,-770.6810
-175.8094,-776.5935
-176.4206,-782.5059
-177.0318,-788.4183
-177.6430,-794.3308
-178.2542,-800.2432
-178.8654,-806.1557
-179.4766,-812.0681
-180.0878,-817.9806
-180.6990,-823.8930
-181.3102,-829.8054
-181.9213,-835.7179
-182.5325,-841.6303
-183.1437,-847.5428
-183.7549,-853.4552
-184.3661,-859.3677
-184.9773,-865.2801
-185.5885,-871.1925
-186.1997,-877.1050
-186.8109,-883.0174
-187.4221,-888.9299
-188.0333,-894.8423
-188.6445,-900.7548
-189.2557,-906.6672
-189.8506,-912.4112
-190.4455,-918.1553
-191.0405,-923.8994
-191.6354,-929.6434
-192.2303,-935.3875
-192.8252,-941.1315
-193.4201,-946.8756
-194.0150,-952.6196
-194.6099,-958.3637
-195.2049,-964.1077
-195.7998,-969.8518
-196.3947,-975.5958
-196.9896,-981.3399
-197.5845,-987.0839
-198.1794,-992.8280
-198.7743,-998.5720
-199.3693,-1004.3161
-199.9642,-1010.0601
-200.5591,-1015.8042
-201.1540,-1021.5482
-201.7489,-1027.2923
-202.3438,-1033.0363
-202.9387,-1038.7804
-203.5337,-1044.5244
-204.1286,-1050.2685
-204.7278,-1056.0335
-205.3271,-1061.7984
-205.9263,-1067.5634
-206.5256,-1073.3284
-207.1249,-1079.0933
-207.7241,-1084.8583
-208.3234,-1090.6233
-208.9226,-1096.3882
-209.5219,-1102.1532
-210.1212,-1107.9182
-210.7204,-1113.6831
-211.3197,-1119.4481
-211.9189,-1125.2131
-212.5182,-1130.9780
-213.1175,-1136.7430
-213.7167,-1142.5080
-214.3160,-1148.2729
-214.9273,-1154.0960
-215.5387,-1159.9190
-216.1500,-1165.7421
-216.7613,-1171.5652
-217.3726,-1177.3882
-217.9840,-1183.2113
-218.5953,-1189.0344
-219.2066,-1194.8574
-219.8180,-1200.6805
-220.2262,-1204.0858
-220.6345,-1207.4912
-221.4462,-1213.3915
-222.2530,-1218.3813
-223.0550,-1222.4608
-223.8521,-1225.6298
-224.8534,-1228.8197
-226.0587,-1232.0305
-227.4683,-1235.2621
-229.0819,-1238.5146
-230.8414,-1241.6141
-232.7467,-1244.5608
-234.7978,-1247.3546
-236.9947,-1249.9954
-239.2742,-1252.5668
-241.6364,-1255.0687
-244.0811,-1257.5011
-246.6086,-1259.8640
-249.3936,-1262.2199
-252.4362,-1264.5689
-255.7364,-1266.9110
-259.2942,-1269.2461
-262.9395,-1271.3588
-266.6723,-1273.2491
-270.4926,-1274.9170
-274.4004,-1276.3625
-278.4540,-1277.6482
-282.6534,-1278.7741
-286.9986,-1279.7401
-291.4896,-1280.5462
-295.8105,-1281.0814
-299.9613,-1281.3455
-303.9420,-1281.3385
-307.7525,-1281.0605
-311.4999,-1280.6574
-315.1841,-1280.1293
-318.8051,-1279.4760
-322.3629,-1278.6976
-326.0666,-1277.7177
-329.9160,-1276.5363
-333.9113,-1275.1533
-338.0523,-1273.5688
-342.1643,-1271.9217
-346.2470,-1270.2121
-350.3006,-1268.4399
-354.3250,-1266.6052
-358.0918,-1264.7079
-361.6010,-1262.7481
-364.8527,-1260.7257
-367.8467,-1258.6408
-370.9865,-1256.3891
-374.2721,-1253.9707
-377.7036,-1251.3854
-381.2808,-1248.6333
-384.9699,-1245.4851
-388.7707,-1241.9408
-392.6834,-1238.0003
-396.7078,-1233.6637
-400.4163,-1229.4313
-403.8088,-1225.3032
-406.8855,-1221.2793
-409.6462,-1217.3597
-412.3194,-1213.3706
-414.9052,-1209.3120
-417.4034,-1205.1839
-419.8142,-1200.9863
-422.1423,-1196.5941
-424.3878,-1192.0073
-426.5507,-1187.2259
-428.6310,-1182.2499
-430.6772,-1177.1419
-432.6894,-1171.9018
-434.6676,-1166.5297
-436.6118,-1161.0256
-438.4441,-1155.4867
-440.1647,-1149.9130
-441.7735,-1144.3047
-443.2705,-1138.6615
-444.5683,-1133.2199
-445.6667,-1127.9798
-446.5659,-1122.9413
-447.2658,-1118.1044
-447.9900,-1112.6419
-448.3642,-1109.5979
-448.7385,-1106.5540
-449.1249,-1103.1973
-449.5113,-1099.8406
-449.9098,-1096.1712
-450.3084,-1092.5017
-450.6219,-1088.8323
-450.9354,-1085.1629
-451.1638,-1081.4934
-451.3923,-1077.8240
-451.5357,-1074.1546
-451.6790,-1070.4851
-451.7374,-1066.8157
-451.7957,-1063.1463
-451.8540,-1059.5255
-451.9123,-1055.9047
-451.9707,-1052.3326
-452.0290,-1048.7604
-452.0873,-1045.2369
-452.1456,-1041.7134
-452.2040,-1038.2386
-452.2623,-1034.7638
-452.3498,-1030.4376
-452.4373,-1026.1114
-452.5539,-1020.9339
-452.6706,-1015.7564
-452.7678,-1011.7371
-452.8650,-1007.7179
-452.9622,-1003.6987
-453.0788,-999.1119
-453.1955,-994.5251
-453.3121,-989.9383
-453.4191,-985.4928
-453.5260,-981.0473
-453.6329,-976.6019
-453.7301,-972.2977
-453.8273,-967.9935
-453.9245,-963.6893
-454.0120,-959.5265
-454.0995,-955.3636
-454.1870,-951.2008
-454.2648,-947.1792
-454.3425,-943.1577
-454.4203,-939.1361
-454.4592,-935.0289
-454.4981,-930.9216
-454.5370,-926.8143
-454.5370,-922.6214
-454.5370,-918.4284
-454.5370,-914.2354
-454.4981,-909.9567
-454.4592,-905.6780
-454.4203,-901.3993
-454.3425,-897.0349
-454.2648,-892.6705
-454.1870,-888.3061
-454.0039,-883.6035
-453.8209,-878.9009
-453.6378,-874.1983
-453.3494,-869.1574
-453.0610,-864.1166
-452.7726,-859.0758
-452.3789,-853.6967
-451.9852,-848.3177
-451.5916,-842.9386
-451.0925,-837.2213
-450.5935,-831.5041
-450.0945,-825.7868
-449.5881,-820.5009
-449.0816,-815.2149
-448.5752,-809.9290
-448.0687,-804.6431
-447.5623,-799.3571
-446.9677,-793.4059
-446.3731,-787.4547
-445.7785,-781.5034
-445.1839,-775.5522
-444.5893,-769.6009
-443.9947,-763.6497
-443.4194,-758.0265
-442.8440,-752.4033
-442.2687,-746.7802
-441.6933,-741.1570
-441.1180,-735.5339
-440.5426,-729.9107
-439.9673,-724.2875
-439.3919,-718.6644
-438.8281,-713.2381
-438.2643,-707.8118
-437.7005,-702.3854
-437.1367,-696.9591
-436.5729,-691.5328
-436.0091,-686.1065
-435.4453,-680.6802
-434.8815,-675.2539
-434.3176,-669.8276
-433.7538,-664.4013
-433.1360,-658.5904
-432.5181,-652.7796
-431.9002,-646.9688
-431.2823,-641.1580
-430.6644,-635.3472
-430.0466,-629.5364
-429.4287,-623.7256
-428.8108,-617.9148
-428.2039,-612.3849
-427.5971,-606.8549
-426.9902,-601.3249
-426.3834,-595.7950
-425.7765,-590.2650
-425.1697,-584.7351
-424.5628,-579.2051
-423.9706,-574.0496
-423.3785,-568.8941
-422.7863,-563.7386
-422.1942,-558.5831
-421.6020,-553.4276
-421.0098,-548.2720
-420.2954,-542.4830
-419.5809,-536.6939
-418.8664,-530.9048
-418.1519,-525.1157
-417.5990,-519.5942
-417.0462,-514.0727
-416.4933,-508.5511
-415.9404,-503.0296
-415.3876,-497.5081
-414.8347,-491.9866
-414.2818,-486.4650
-413.7289,-480.9435
-413.1846,-475.0173
-412.6402,-469.0912
-412.0958,-463.1650
-411.5515,-457.2388
-411.0071,-451.3126
-410.4628,-445.3864
-409.9184,-439.4602
-409.3740,-433.5340
-408.8297,-427.6079
-408.2853,-421.6817
-407.7409,-415.7555
